"","Waterbody","type","ident","Latitude","Longitude","Strata","Habitat","Zone","Grid","Minigrid","Exclude","selection"
"1","Ocklawaha River",NA,165203,29.0845833333,-81.89275,"1_Run","Run","1",33,32,NA,"Primary"
"2","Ocklawaha River",NA,165817,29.1065833333,-81.92075,"1_Run","Run","1",30,638,NA,"Primary"
"3","Ocklawaha River",NA,166174,29.1185833333,-81.9259166667,"1_Run","Run","1",29,832,NA,"Primary"
"4","Ocklawaha River",NA,166174,29.1234166667,-81.93025,"1_Run","Run","1",29,940,NA,"Primary"
"5","Ocklawaha River",NA,166253,29.12975,-81.9355833333,"1_Run","Run","1",28,1066,NA,"Alternate"
"6","Ocklawaha River",NA,166253,29.1309166667,-81.9364166667,"1_Run","Run","1",28,1090,NA,"Alternate"
"7","Ocklawaha River",NA,166597,29.1345833333,-81.94475,"1_Run","Run","1",27,1212,NA,"Primary"
"8","Ocklawaha River",NA,166868,29.1400833333,-81.95475,"2_Run","Run","2",26,1393,NA,"Primary"
"9","Ocklawaha River",NA,166868,29.1449166667,-81.9605833333,"2_Run","Run","2",26,1508,NA,"Primary"
"10","Ocklawaha River",NA,166912,29.1484166667,-81.96675,"2_Run","Run","2",25,1617,NA,"Primary"
"11","Ocklawaha River",NA,167061,29.15575,-81.9830833333,"2_Run","Run","2",24,1920,NA,"Primary"
"12","Ocklawaha River",NA,167061,29.15525,-81.98175,"2_Run","Run","2",24,1909,NA,"Primary"
"13","Ocklawaha River",NA,167235,29.1625833333,-81.9835833333,"2_Run","Run","2",23,2075,NA,"Alternate"
"14","Ocklawaha River",NA,167889,29.1724166667,-81.9860833333,"2_Run","Run","2",21,2250,NA,"Primary"
"15","Ocklawaha River",NA,168355,29.18475,-81.99375,"2_Run","Run","2",20,2510,NA,"Alternate"
"16","Ocklawaha River",NA,168549,29.2124166667,-81.98775,"3_Run","Run","3",19,3009,NA,"Primary"
"17","Ocklawaha River",NA,169032,29.2210833333,-81.98375,"3_OB","OB","3",17,3232,NA,"Alternate"
"18","Ocklawaha River",NA,169212,29.2230833333,-81.9825833333,"3_OB","OB","3",18,3335,NA,"Primary"
"19","Ocklawaha River",NA,169212,29.23175,-81.9735833333,"3_Run","Run","3",18,3600,NA,"Alternate"
"20","Ocklawaha River",NA,169852,29.2499166667,-81.96575,"3_Run","Run","3",16,4081,NA,"Primary"
"21","Ocklawaha River",NA,170223,29.26525,-81.94225,"3_Run","Run","3",14,4683,NA,"Primary"
"22","Ocklawaha River",NA,170296,29.25275,-81.9659166667,"3_Run","Run","3",13,4133,NA,"Primary"
"23","Ocklawaha River",NA,170296,29.25925,-81.95575,"3_Run","Run","3",13,4347,NA,"Primary"
"24","Ocklawaha River",NA,170296,29.2649166667,-81.9505833333,"3_OB","OB","3",13,4650,NA,"Primary"
"25","Ocklawaha River",NA,170846,29.27575,-81.93825,"3_Run","Run","3",12,4908,NA,"Alternate"
"26","Ocklawaha River",NA,170846,29.2705833333,-81.94025,"3_IB","IB","3",12,4800,NA,"Alternate"
"27","Ocklawaha River",NA,171063,29.2944166667,-81.9190833333,"3_Run","Run","3",10,5387,NA,"Primary"
"28","Ocklawaha River",NA,171063,29.2894166667,-81.9280833333,"3_Run","Run","3",10,5232,NA,"Primary"
"29","Ocklawaha River",NA,171284,29.2849166667,-81.9359166667,"3_Run","Run","3",9,5060,NA,"Primary"
"30","Ocklawaha River",NA,171284,29.2855833333,-81.93475,"3_Run","Run","3",9,5079,NA,"Primary"
"31","Ocklawaha River",NA,171284,29.2850833333,-81.9350833333,"3_Run","Run","3",9,5068,NA,"Primary"
"32","Ocklawaha River",NA,171317,29.2985833333,-81.91575,"3_Run","Run","3",11,5481,NA,"Primary"
"33","Ocklawaha River",NA,171317,29.2965833333,-81.9165833333,"3_IB","IB","3",11,5450,NA,"Alternate"
"34","Ocklawaha River",NA,172125,29.30975,-81.9075833333,"3_IB","IB","3",7,5721,NA,"Primary"
"35","Ocklawaha River",NA,172125,29.31475,-81.90275,"3_OB","OB","3",7,5852,NA,"Primary"
"36","Ocklawaha River",NA,172714,29.32775,-81.8919166667,"3_Run","Run","3",6,6236,NA,"Primary"
"37","Ocklawaha River",NA,173402,29.3365833333,-81.88775,"3_IB","IB","3",4,6436,NA,"Primary"
"38","Ocklawaha River",NA,173402,29.3405833333,-81.8844166667,"3_Run","Run","3",4,6554,NA,"Alternate"
"39","Ocklawaha River",NA,173554,29.3579166667,-81.89325,"3_Run","Run","3",3,6932,NA,"Alternate"
"40","Ocklawaha River",NA,174141,29.3690833333,-81.8990833333,"3_OB","OB","3",2,7204,NA,"Alternate"
"41","Ocklawaha River",NA,177049,29.4740833333,-81.69725,"4_IB","IB","4",45,7643,NA,"Alternate"
"42","Ocklawaha River",NA,177049,29.47175,-81.69475,"4_Run","Run","4",45,7418,NA,"Alternate"
"43","Ocklawaha River",NA,177094,29.47425,-81.7664166667,"4_Run","Run","4",41,7670,NA,"Primary"
"44","Ocklawaha River",NA,177295,29.47225,-81.7690833333,"4_OB","OB","4",40,7444,NA,"Primary"
"45","Ocklawaha River",NA,177295,29.4724166667,-81.7694166667,"4_IB","IB","4",40,7452,NA,"Primary"
"46","Ocklawaha River",NA,177295,29.47875,-81.7810833333,"4_Run","Run","4",40,8663,NA,"Primary"
"47","Ocklawaha River",NA,177326,29.4829166667,-81.7220833333,"4_OB","OB","4",43,9301,NA,"Primary"
"48","Ocklawaha River",NA,177326,29.48275,-81.7214166667,"4_IB","IB","4",43,9265,NA,"Primary"
"49","Ocklawaha River",NA,177361,29.4819166667,-81.7335833333,"4_Run","Run","4",42,9107,NA,"Primary"
"50","Ocklawaha River",NA,177361,29.48075,-81.73675,"4_Run","Run","4",42,8906,NA,"Primary"
"51","Ocklawaha River",NA,177361,29.4819166667,-81.73425,"4_Run","Run","4",42,9103,NA,"Primary"
"52","Ocklawaha River",NA,177361,29.47875,-81.7420833333,"4_OB","OB","4",42,8664,NA,"Alternate"
"53","Ocklawaha River",NA,177361,29.47975,-81.7394166667,"4_OB","OB","4",42,8805,NA,"Alternate"
"54","Ocklawaha River",NA,177395,29.4765833333,-81.70975,"4_OB","OB","4",44,8451,NA,"Primary"
"55","Ocklawaha River",NA,177395,29.4794166667,-81.7130833333,"4_Run","Run","4",44,8758,NA,"Alternate"
"56","Ocklawaha River",NA,177782,29.49775,-81.7979166667,"4_Run","Run","4",37,10026,NA,"Primary"
"57","Ocklawaha River",NA,177782,29.4969166667,-81.79675,"4_Run","Run","4",37,9968,NA,"Primary"
"58","Ocklawaha River",NA,177782,29.4905833333,-81.7909166667,"4_IB","IB","4",37,9610,NA,"Alternate"
"59","Ocklawaha River",NA,178565,29.5054166667,-81.8025833333,"4_Run","Run","4",34,10324,NA,"Alternate"
